#Question Type (Multi-choice/Text/Code),#Question Number,Question Body,QuestionAnwser/ExpectedResult,Questionpsotibilities(multichoiceonly)/ExpectedResults
Code,25,Write C code to reverse the order of words in a given sentence.,>hello world how are you>programming is fun>test case for this problem>solution for this question,>you are how world hello>fun is programming>this for case test problem>question this for solution
MCA,26,Which of the following is true regarding the 'for' loop in C?,>The 'for' loop is executed at least once.>The 'for' loop is executed as long as the condition is true.>The 'for' loop is executed forever.>None of the above,2
Code,27,Write C code to check if a given number is prime or not.,>7>14>31>48,>prime>not prime>prime>not prime
MCA,28,Which of the following is true regarding the 'sizeof' operator in C?,>The 'sizeof' operator returns the size of the variable in bytes.>The 'sizeof' operator can be used to find the size of any data type.>The 'sizeof' operator can be used to find the number of elements in an array.>All of the above,4
Code,29,Write C code to concatenate two strings without using the standard library functions.,>hello >world,>helloworld
MCA,30,Which of the following is true regarding the 'malloc' function in C?,>The 'malloc' function allocates memory on the stack.>The 'malloc' function allocates memory on the heap.>The 'malloc' function is used to free allocated memory.>None of the above,2
Code,31,Write C code to sort an array of integers in ascending order using the bubble sort algorithm.,>4 3 2 1>10 9 8 7 6 5 4 3 2 1>67 21 13 99 45 68>56 23 15 69 78,>1 2 3 4>1 2 3 4 5 6 7 8 9 10>13 21 45 67 68 99>15 23 56 69 78
MCA,32,Which of the following is true regarding the 'typedef' keyword in C?,>The 'typedef' keyword is used to create an alias for an existing data type.>The 'typedef' keyword is used to define a new data type.>The 'typedef' keyword is used to create a pointer to an existing data type.>All of the above,1
Code,33,Write C code to find the maximum element in an array of integers using a pointer.,>3 6 2 1 8 9 7 5 4>2 4 6 8 10>10 9 8 7 6 5 4 3 2 1>45 67 21 13 99 68,>9>10>10>99
MCA,34,Which of the following is true regarding the 'const' keyword in C?,>The 'const' keyword is used to declare a variable that cannot be modified.>The 'const' keyword is used to declare a function that cannot be modified.>The 'const' keyword is used to declare a variable that can only be modified within a function.>All of the above,1
Code,35,Write C code to reverse the order of the elements in an array of integers using pointers.,>1 2 3 4 5>6 7 8 9 10,# no idea how to do thiis sorta one //TODO setup these questions properly
MCA,36,"Which of the following is true regarding the ""malloc"" function in C?",>It is used to allocate memory on the heap>It is used to allocate memory on the stack>It is used to allocate memory for a constant>None of the above,1
MCA,37,Which of the following is a valid way to declare a two-dimensional array in C?,>int arr[3][3];>int arr[][] = {{1<comma> 2<comma> 3}<comma> {4<comma> 5<comma> 6}<comma> {7<comma> 8<comma> 9}};>int **arr = malloc(3 * sizeof(int*));>Both A and B,4
MCA,38,Which of the following is the correct way to declare a function that takes a pointer to an integer as an argument in C?,>int *function(int x);>int function(*int x);>int *function(*x);>int function(int *x);,4
